"timeMillisSpent","score"
472,"[0]hard/[-122188/-103557808]soft"
476,"[0]hard/[-120906/-103803568]soft"
478,"[0]hard/[-119760/-102812080]soft"
552,"[0]hard/[-119442/-93890120]soft"
556,"[0]hard/[-118142/-94271356]soft"
570,"[0]hard/[-118098/-93309404]soft"
571,"[0]hard/[-118082/-93309404]soft"
608,"[0]hard/[-118070/-92027496]soft"
608,"[0]hard/[-117968/-92058664]soft"
857,"[0]hard/[-116268/-92818056]soft"
1189,"[0]hard/[-115296/-96055768]soft"
1321,"[0]hard/[-114998/-92870920]soft"
1827,"[0]hard/[-113982/-91151900]soft"
1853,"[0]hard/[-113716/-95193928]soft"
1948,"[0]hard/[-113520/-93120104]soft"
2081,"[0]hard/[-112482/-91127580]soft"
2081,"[0]hard/[-112428/-91127580]soft"
2086,"[0]hard/[-112388/-91127580]soft"
2460,"[0]hard/[-112070/-103808188]soft"
2696,"[0]hard/[-111958/-92746304]soft"
2697,"[0]hard/[-111932/-92358420]soft"
2833,"[0]hard/[-111904/-92140980]soft"
2966,"[0]hard/[-110912/-91547848]soft"
2966,"[0]hard/[-110858/-91547848]soft"
3195,"[0]hard/[-110804/-100077532]soft"
3400,"[0]hard/[-110278/-101273544]soft"
3615,"[0]hard/[-109408/-90669276]soft"
3619,"[0]hard/[-109400/-90991412]soft"
3619,"[0]hard/[-109302/-90991412]soft"
3620,"[0]hard/[-109222/-99839740]soft"
3829,"[0]hard/[-109102/-101669224]soft"
4167,"[0]hard/[-108832/-82760712]soft"
4167,"[0]hard/[-108778/-82760712]soft"
4169,"[0]hard/[-108688/-82770824]soft"
4513,"[0]hard/[-108364/-91247184]soft"
4514,"[0]hard/[-108302/-91247184]soft"
4518,"[0]hard/[-108164/-91360712]soft"
4518,"[0]hard/[-108006/-99839740]soft"
4589,"[0]hard/[-107974/-91112496]soft"
4614,"[0]hard/[-107788/-91233236]soft"
5169,"[0]hard/[-107772/-91462632]soft"
6093,"[0]hard/[-107682/-90913780]soft"
6099,"[0]hard/[-107646/-91080148]soft"
6099,"[0]hard/[-107642/-91080148]soft"
6234,"[0]hard/[-106576/-100077532]soft"
8547,"[0]hard/[-106286/-99839740]soft"
8548,"[0]hard/[-106270/-99916348]soft"
9243,"[0]hard/[-106218/-99839740]soft"
9868,"[0]hard/[-106210/-99840124]soft"
9876,"[0]hard/[-106202/-100003708]soft"
9877,"[0]hard/[-106194/-100003708]soft"
9879,"[0]hard/[-106194/-99919132]soft"
10186,"[0]hard/[-106172/-99597276]soft"
10188,"[0]hard/[-106124/-99760732]soft"
10191,"[0]hard/[-106098/-99760732]soft"
11546,"[0]hard/[-106086/-99760732]soft"
11667,"[0]hard/[-106082/-100077532]soft"
11713,"[0]hard/[-106082/-99839740]soft"
11846,"[0]hard/[-106064/-100077532]soft"
11851,"[0]hard/[-106032/-100077532]soft"
11852,"[0]hard/[-106010/-100077532]soft"
13623,"[0]hard/[-106010/-99839740]soft"
13649,"[0]hard/[-106002/-99839740]soft"
13650,"[0]hard/[-105998/-99839740]soft"
14030,"[0]hard/[-105996/-100077532]soft"
14128,"[0]hard/[-105994/-100077532]soft"
14665,"[0]hard/[-105992/-100077532]soft"
15098,"[0]hard/[-105988/-100077532]soft"
16646,"[0]hard/[-105984/-100077532]soft"
16650,"[0]hard/[-105980/-100077532]soft"
17197,"[0]hard/[-105980/-99839740]soft"
