"timeMillisSpent","score"
3642,"[0]hard/[-2219212/-1602536804]soft"
3657,"[0]hard/[-2219206/-1602536804]soft"
3660,"[0]hard/[-2216942/-1603279044]soft"
3662,"[0]hard/[-2216940/-1603279044]soft"
3664,"[0]hard/[-2215216/-1586677820]soft"
3681,"[0]hard/[-2213776/-1599406276]soft"
3699,"[0]hard/[-2213318/-1662006160]soft"
3700,"[0]hard/[-2213300/-1662006160]soft"
3798,"[0]hard/[-2212442/-1652832532]soft"
3842,"[0]hard/[-2210484/-1709587184]soft"
3864,"[0]hard/[-2209586/-1644239392]soft"
3922,"[0]hard/[-2207248/-1702214104]soft"
3923,"[0]hard/[-2207240/-1702214104]soft"
3936,"[0]hard/[-2204894/-1769838872]soft"
4060,"[0]hard/[-2200714/-1776985284]soft"
4074,"[0]hard/[-2200166/-1755136628]soft"
4246,"[0]hard/[-2197884/-1728064108]soft"
4433,"[0]hard/[-2195246/-1746142616]soft"
4434,"[0]hard/[-2195222/-1746142616]soft"
4607,"[0]hard/[-2194924/-1758737992]soft"
4735,"[0]hard/[-2190314/-1719209104]soft"
4959,"[0]hard/[-2189504/-1718914784]soft"
5017,"[0]hard/[-2184298/-1778735344]soft"
5182,"[0]hard/[-2183364/-1693821524]soft"
5314,"[0]hard/[-2182702/-1706817020]soft"
5477,"[0]hard/[-2180660/-1714910592]soft"
5522,"[0]hard/[-2175534/-1738764132]soft"
5816,"[0]hard/[-2175130/-1704120816]soft"
5856,"[0]hard/[-2173208/-1708231976]soft"
6029,"[0]hard/[-2169718/-1764855168]soft"
6221,"[0]hard/[-2167514/-1740893812]soft"
6223,"[0]hard/[-2166010/-1740068400]soft"
7258,"[0]hard/[-2162842/-1720130888]soft"
7443,"[0]hard/[-2160436/-1700193904]soft"
7444,"[0]hard/[-2160302/-1696508876]soft"
7445,"[0]hard/[-2156726/-1694267468]soft"
8190,"[0]hard/[-2156200/-1724581624]soft"
8221,"[0]hard/[-2156060/-1720892716]soft"
8222,"[0]hard/[-2156016/-1720940448]soft"
8223,"[0]hard/[-2155758/-1722884832]soft"
8224,"[0]hard/[-2153278/-1719947232]soft"
8452,"[0]hard/[-2152600/-1699655688]soft"
8484,"[0]hard/[-2152084/-1730326704]soft"
8699,"[0]hard/[-2147468/-1782563712]soft"
8700,"[0]hard/[-2147406/-1782852108]soft"
9364,"[0]hard/[-2145284/-1654680132]soft"
9835,"[0]hard/[-2144180/-1712859416]soft"
9957,"[0]hard/[-2142862/-1686836108]soft"
10028,"[0]hard/[-2141822/-1710474520]soft"
10051,"[0]hard/[-2140836/-1692739088]soft"
10052,"[0]hard/[-2140836/-1690869888]soft"
10264,"[0]hard/[-2139180/-1727775340]soft"
10538,"[0]hard/[-2137600/-1685441876]soft"
10541,"[0]hard/[-2137550/-1683264380]soft"
10638,"[0]hard/[-2137130/-1715422460]soft"
10949,"[0]hard/[-2133692/-1725877104]soft"
11147,"[0]hard/[-2132672/-1698159272]soft"
11171,"[0]hard/[-2132586/-1730814872]soft"
11196,"[0]hard/[-2129920/-1707786816]soft"
11274,"[0]hard/[-2129288/-1766950504]soft"
11493,"[0]hard/[-2127078/-1680579452]soft"
11494,"[0]hard/[-2125818/-1680457840]soft"
11494,"[0]hard/[-2125794/-1680457840]soft"
11858,"[0]hard/[-2121712/-1721806328]soft"
11859,"[0]hard/[-2121660/-1721806328]soft"
12083,"[0]hard/[-2121302/-1695225996]soft"
12659,"[0]hard/[-2120998/-1739291540]soft"
12660,"[0]hard/[-2119798/-1739291540]soft"
12661,"[0]hard/[-2119742/-1739291540]soft"
12662,"[0]hard/[-2118436/-1739087804]soft"
12703,"[0]hard/[-2116506/-1737662548]soft"
12890,"[0]hard/[-2113550/-1690938656]soft"
13970,"[0]hard/[-2109516/-1682595368]soft"
14141,"[0]hard/[-2109474/-1724484224]soft"
14336,"[0]hard/[-2108722/-1683916164]soft"
14646,"[0]hard/[-2107632/-1740910584]soft"
14648,"[0]hard/[-2106448/-1740910584]soft"
15045,"[0]hard/[-2105892/-1672989688]soft"
15046,"[0]hard/[-2104394/-1673324348]soft"
15470,"[0]hard/[-2102786/-1700808160]soft"
16009,"[0]hard/[-2101668/-1662122992]soft"
16108,"[0]hard/[-2101298/-1676062440]soft"
16109,"[0]hard/[-2101258/-1676946320]soft"
16319,"[0]hard/[-2100410/-1689835084]soft"
16414,"[0]hard/[-2098366/-1730802320]soft"
16746,"[0]hard/[-2098306/-1704803744]soft"
16747,"[0]hard/[-2095804/-1704425508]soft"
16748,"[0]hard/[-2095784/-1704425508]soft"
16947,"[0]hard/[-2095664/-1672970420]soft"
16951,"[0]hard/[-2094558/-1651627364]soft"
17256,"[0]hard/[-2093552/-1684938520]soft"
17282,"[0]hard/[-2092168/-1736635632]soft"
17779,"[0]hard/[-2090828/-1649358084]soft"
17779,"[0]hard/[-2090818/-1649358084]soft"
17950,"[0]hard/[-2088184/-1657670040]soft"
18083,"[0]hard/[-2087402/-1721583768]soft"
18083,"[0]hard/[-2086378/-1704667448]soft"
18347,"[0]hard/[-2081512/-1647302688]soft"
19361,"[0]hard/[-2080930/-1660497720]soft"
19850,"[0]hard/[-2079682/-1658983780]soft"
20051,"[0]hard/[-2079262/-1614231020]soft"
20066,"[0]hard/[-2078496/-1614460372]soft"
20067,"[0]hard/[-2076168/-1594727348]soft"
20067,"[0]hard/[-2076056/-1595556488]soft"
20394,"[0]hard/[-2073808/-1687720488]soft"
21452,"[0]hard/[-2073480/-1594960312]soft"
21835,"[0]hard/[-2073446/-1613826448]soft"
21973,"[0]hard/[-2072994/-1615516168]soft"
22203,"[0]hard/[-2071208/-1572946492]soft"
22485,"[0]hard/[-2069368/-1649134268]soft"
22868,"[0]hard/[-2068644/-1674573604]soft"
22893,"[0]hard/[-2068136/-1686103232]soft"
22910,"[0]hard/[-2067400/-1662955932]soft"
23321,"[0]hard/[-2067148/-1679033768]soft"
23385,"[0]hard/[-2063456/-1671974700]soft"
23431,"[0]hard/[-2061982/-1674216900]soft"
23712,"[0]hard/[-2061646/-1609619684]soft"
24291,"[0]hard/[-2059488/-1705667820]soft"
24355,"[0]hard/[-2059350/-1708552392]soft"
25058,"[0]hard/[-2058042/-1653520112]soft"
25059,"[0]hard/[-2057848/-1656612088]soft"
25060,"[0]hard/[-2057688/-1656612088]soft"
25100,"[0]hard/[-2056590/-1640832644]soft"
25399,"[0]hard/[-2056114/-1677907004]soft"
25678,"[0]hard/[-2055578/-1685384600]soft"
25681,"[0]hard/[-2054568/-1685076472]soft"
25749,"[0]hard/[-2054472/-1661564768]soft"
25977,"[0]hard/[-2053662/-1651176252]soft"
27032,"[0]hard/[-2051938/-1667950872]soft"
27504,"[0]hard/[-2049796/-1637824384]soft"
27781,"[0]hard/[-2048562/-1710856696]soft"
27990,"[0]hard/[-2046708/-1641717844]soft"
28459,"[0]hard/[-2044220/-1644027500]soft"
28460,"[0]hard/[-2043532/-1661455068]soft"
28462,"[0]hard/[-2043252/-1682793348]soft"
28462,"[0]hard/[-2043232/-1682793348]soft"
28683,"[0]hard/[-2043172/-1680775664]soft"
28684,"[0]hard/[-2041908/-1661995280]soft"
28685,"[0]hard/[-2041876/-1661995280]soft"
28686,"[0]hard/[-2040716/-1638758352]soft"
30727,"[0]hard/[-2040612/-1618010920]soft"
30728,"[0]hard/[-2039190/-1618010920]soft"
30730,"[0]hard/[-2037944/-1616589640]soft"
30731,"[0]hard/[-2037658/-1616780100]soft"
31328,"[0]hard/[-2037540/-1648805908]soft"
31329,"[0]hard/[-2037508/-1649064148]soft"
31959,"[0]hard/[-2036046/-1611747376]soft"
31960,"[0]hard/[-2036030/-1611898576]soft"
31961,"[0]hard/[-2035044/-1596354576]soft"
32591,"[0]hard/[-2034022/-1600087840]soft"
33166,"[0]hard/[-2033384/-1585930512]soft"
33168,"[0]hard/[-2033376/-1585930512]soft"
33169,"[0]hard/[-2033368/-1584927972]soft"
