"timeMillisSpent","score"
440,"[0]hard/[-14746/-8137726]soft"
456,"[0]hard/[-14719/-7985446]soft"
498,"[0]hard/[-14688/-7941002]soft"
528,"[0]hard/[-14622/-7950346]soft"
530,"[0]hard/[-14619/-7912714]soft"
675,"[0]hard/[-13633/-4804073]soft"
4830,"[0]hard/[-13625/-4745954]soft"
5165,"[0]hard/[-13620/-4761014]soft"
5165,"[0]hard/[-13617/-4789455]soft"
5172,"[0]hard/[-13577/-4739237]soft"
5249,"[0]hard/[-13556/-4735987]soft"
5908,"[0]hard/[-13554/-4652304]soft"
6386,"[0]hard/[-13548/-4507570]soft"
6845,"[0]hard/[-13541/-4759375]soft"
6927,"[0]hard/[-13531/-4674996]soft"
7267,"[0]hard/[-13525/-4533944]soft"
7440,"[0]hard/[-13484/-4636300]soft"
8789,"[0]hard/[-13467/-4681305]soft"
