"timeMillisSpent","score"
646,"[0]hard/[-409920/-327833952]soft"
650,"[0]hard/[-409910/-327833952]soft"
652,"[0]hard/[-407418/-327833952]soft"
666,"[0]hard/[-406388/-322912236]soft"
674,"[0]hard/[-405062/-322920300]soft"
706,"[0]hard/[-403590/-328575024]soft"
707,"[0]hard/[-403586/-328575024]soft"
727,"[0]hard/[-400462/-344177004]soft"
728,"[0]hard/[-400454/-344655752]soft"
749,"[0]hard/[-395876/-322181804]soft"
880,"[0]hard/[-395094/-344254840]soft"
1252,"[0]hard/[-392990/-324753576]soft"
1255,"[0]hard/[-392916/-324753576]soft"
1408,"[0]hard/[-390288/-340124216]soft"
1415,"[0]hard/[-387688/-346068228]soft"
1416,"[0]hard/[-387672/-346068228]soft"
1416,"[0]hard/[-386548/-332753528]soft"
1751,"[0]hard/[-385346/-355371300]soft"
1948,"[0]hard/[-381900/-319248868]soft"
2209,"[0]hard/[-381818/-330528292]soft"
2211,"[0]hard/[-381602/-341206168]soft"
2220,"[0]hard/[-380292/-340492968]soft"
2302,"[0]hard/[-379510/-308375560]soft"
2302,"[0]hard/[-379458/-321661768]soft"
2303,"[0]hard/[-378186/-319639384]soft"
2966,"[0]hard/[-377628/-338723008]soft"
3103,"[0]hard/[-377398/-306684124]soft"
3251,"[0]hard/[-376842/-305114712]soft"
3401,"[0]hard/[-375138/-338838312]soft"
3416,"[0]hard/[-374808/-317548412]soft"
3417,"[0]hard/[-374762/-318544680]soft"
3677,"[0]hard/[-374524/-307321192]soft"
3677,"[0]hard/[-374464/-307321192]soft"
3677,"[0]hard/[-373070/-306023140]soft"
3680,"[0]hard/[-372592/-327160168]soft"
3681,"[0]hard/[-372008/-329492692]soft"
3949,"[0]hard/[-370450/-318243288]soft"
3950,"[0]hard/[-370446/-318176088]soft"
4785,"[0]hard/[-370372/-330354308]soft"
4786,"[0]hard/[-370272/-330354308]soft"
4795,"[0]hard/[-367854/-325756132]soft"
6283,"[0]hard/[-367844/-305270664]soft"
6349,"[0]hard/[-366476/-325634832]soft"
6349,"[0]hard/[-366470/-325634832]soft"
6350,"[0]hard/[-366404/-325634832]soft"
6614,"[0]hard/[-365704/-303031380]soft"
6834,"[0]hard/[-365454/-316131668]soft"
6838,"[0]hard/[-365414/-314714808]soft"
7010,"[0]hard/[-365180/-302896232]soft"
7261,"[0]hard/[-364582/-325700496]soft"
7261,"[0]hard/[-364558/-325700496]soft"
7280,"[0]hard/[-363982/-316052216]soft"
7425,"[0]hard/[-363222/-302879416]soft"
8078,"[0]hard/[-362576/-303091428]soft"
8079,"[0]hard/[-362510/-303091428]soft"
8089,"[0]hard/[-362404/-303119224]soft"
8200,"[0]hard/[-361976/-315543200]soft"
8200,"[0]hard/[-361976/-315236900]soft"
8347,"[0]hard/[-361956/-302682748]soft"
8349,"[0]hard/[-361908/-302070536]soft"
8350,"[0]hard/[-361764/-301967676]soft"
8351,"[0]hard/[-361764/-301884316]soft"
8530,"[0]hard/[-361122/-303446644]soft"
8707,"[0]hard/[-360816/-303293188]soft"
8709,"[0]hard/[-360810/-303167604]soft"
8878,"[0]hard/[-360784/-315057568]soft"
8914,"[0]hard/[-360686/-314273060]soft"
8920,"[0]hard/[-360594/-316345128]soft"
8922,"[0]hard/[-359546/-303328168]soft"
8922,"[0]hard/[-359520/-303328168]soft"
8923,"[0]hard/[-359420/-303328168]soft"
9073,"[0]hard/[-359414/-303741064]soft"
9085,"[0]hard/[-358968/-303304232]soft"
9101,"[0]hard/[-357778/-302825504]soft"
9847,"[0]hard/[-356994/-301892312]soft"
9847,"[0]hard/[-356970/-301892312]soft"
9847,"[0]hard/[-356962/-301976152]soft"
9902,"[0]hard/[-356844/-302894024]soft"
9903,"[0]hard/[-356782/-302894024]soft"
9903,"[0]hard/[-356690/-302894024]soft"
11262,"[0]hard/[-356288/-302391704]soft"
11263,"[0]hard/[-356212/-302391704]soft"
12043,"[0]hard/[-355348/-302080116]soft"
12043,"[0]hard/[-355312/-302080116]soft"
12046,"[0]hard/[-354448/-290274180]soft"
12487,"[0]hard/[-354152/-302278596]soft"
12503,"[0]hard/[-354132/-302278596]soft"
12635,"[0]hard/[-354088/-303110332]soft"
12635,"[0]hard/[-354058/-303425992]soft"
12636,"[0]hard/[-354056/-303425992]soft"
12647,"[0]hard/[-353684/-302816972]soft"
12649,"[0]hard/[-353644/-303199832]soft"
12650,"[0]hard/[-353638/-303260784]soft"
13113,"[0]hard/[-353474/-302719836]soft"
14484,"[0]hard/[-352598/-290125012]soft"
14679,"[0]hard/[-351528/-289891848]soft"
14724,"[0]hard/[-351434/-289892548]soft"
14726,"[0]hard/[-351420/-289892548]soft"
14726,"[0]hard/[-351418/-289892548]soft"
14729,"[0]hard/[-351406/-289892548]soft"
14819,"[0]hard/[-351194/-290036292]soft"
15003,"[0]hard/[-351094/-289509004]soft"
15003,"[0]hard/[-351072/-289509004]soft"
15005,"[0]hard/[-351070/-289509004]soft"
15015,"[0]hard/[-351060/-289949156]soft"
15015,"[0]hard/[-351056/-289949156]soft"
15553,"[0]hard/[-351046/-289374188]soft"
15554,"[0]hard/[-351012/-289680748]soft"
15561,"[0]hard/[-350966/-290134408]soft"
15561,"[0]hard/[-350956/-290134408]soft"
15583,"[0]hard/[-350924/-289919948]soft"
15583,"[0]hard/[-350918/-289919948]soft"
15585,"[0]hard/[-350884/-290211192]soft"
15986,"[0]hard/[-350874/-290027312]soft"
16375,"[0]hard/[-350844/-290327688]soft"
16376,"[0]hard/[-350816/-290222868]soft"
16388,"[0]hard/[-350776/-289677096]soft"
16394,"[0]hard/[-350756/-289753768]soft"
16413,"[0]hard/[-350648/-290039220]soft"
16413,"[0]hard/[-350618/-290039220]soft"
16414,"[0]hard/[-350612/-290166448]soft"
16414,"[0]hard/[-350610/-290166448]soft"
17910,"[0]hard/[-350588/-289613340]soft"
18043,"[0]hard/[-350490/-290134408]soft"
18044,"[0]hard/[-350488/-290134408]soft"
19578,"[0]hard/[-350476/-289508152]soft"
19774,"[0]hard/[-350432/-289883460]soft"
21290,"[0]hard/[-350416/-289975396]soft"
21291,"[0]hard/[-350412/-290052116]soft"
21293,"[0]hard/[-350406/-289754564]soft"
21468,"[0]hard/[-350384/-289938808]soft"
21823,"[0]hard/[-350384/-289866688]soft"
21913,"[0]hard/[-350366/-289961648]soft"
21913,"[0]hard/[-350360/-289961648]soft"
22602,"[0]hard/[-350334/-289783012]soft"
22602,"[0]hard/[-350324/-289954596]soft"
22640,"[0]hard/[-350318/-290018596]soft"
22644,"[0]hard/[-350294/-290018596]soft"
24536,"[0]hard/[-350290/-290012156]soft"
24681,"[0]hard/[-350290/-289579384]soft"
24803,"[0]hard/[-350272/-289760996]soft"
25740,"[0]hard/[-350266/-290044020]soft"
26388,"[0]hard/[-350258/-289843356]soft"
26394,"[0]hard/[-350250/-289843356]soft"
26724,"[0]hard/[-350244/-289959956]soft"
26746,"[0]hard/[-350242/-289521288]soft"
26839,"[0]hard/[-350236/-289998312]soft"
27057,"[0]hard/[-350236/-289636092]soft"
27059,"[0]hard/[-350230/-289865916]soft"
27789,"[0]hard/[-350224/-289577692]soft"
28865,"[0]hard/[-350208/-289103132]soft"
28866,"[0]hard/[-350206/-289103132]soft"
29252,"[0]hard/[-350204/-289513464]soft"
29473,"[0]hard/[-350196/-289816664]soft"
29477,"[0]hard/[-350194/-289689788]soft"
29478,"[0]hard/[-350194/-289613132]soft"
30178,"[0]hard/[-350194/-289299420]soft"
30186,"[0]hard/[-350192/-289567800]soft"
30366,"[0]hard/[-350192/-289544316]soft"
30370,"[0]hard/[-350188/-289858236]soft"
30400,"[0]hard/[-350184/-289973656]soft"
30400,"[0]hard/[-350174/-289973656]soft"
31251,"[0]hard/[-350160/-289673596]soft"
31755,"[0]hard/[-350152/-289711652]soft"
31755,"[0]hard/[-350150/-289711652]soft"
33256,"[0]hard/[-350140/-289619632]soft"
33629,"[0]hard/[-350136/-289542184]soft"
36457,"[0]hard/[-350134/-289333004]soft"
36458,"[0]hard/[-350132/-289333004]soft"
37491,"[0]hard/[-350128/-289916860]soft"
38331,"[0]hard/[-350126/-289955608]soft"
38631,"[0]hard/[-350126/-289251904]soft"
38675,"[0]hard/[-350122/-289802072]soft"
39414,"[0]hard/[-350122/-289742728]soft"
40379,"[0]hard/[-350118/-289351436]soft"
41218,"[0]hard/[-350116/-289973656]soft"
41417,"[0]hard/[-350112/-290096028]soft"
41450,"[0]hard/[-350112/-289987528]soft"
41498,"[0]hard/[-350108/-290102692]soft"
42634,"[0]hard/[-350106/-289541084]soft"
42829,"[0]hard/[-350102/-290172796]soft"
43062,"[0]hard/[-350102/-289389744]soft"
44150,"[0]hard/[-350100/-289734876]soft"
44351,"[0]hard/[-350100/-289457084]soft"
44812,"[0]hard/[-350098/-289590504]soft"
45446,"[0]hard/[-350098/-289405172]soft"
45816,"[0]hard/[-350096/-289962824]soft"
46136,"[0]hard/[-350094/-289590376]soft"
46558,"[0]hard/[-350094/-289572008]soft"
46619,"[0]hard/[-350090/-289878824]soft"
50317,"[0]hard/[-350090/-289493692]soft"
50400,"[0]hard/[-350090/-289358716]soft"
50401,"[0]hard/[-350088/-289358716]soft"
57163,"[0]hard/[-350088/-289340348]soft"
57322,"[0]hard/[-350088/-289302032]soft"
57370,"[0]hard/[-350088/-289263724]soft"
60654,"[0]hard/[-350088/-289148848]soft"
60724,"[0]hard/[-350088/-289072304]soft"
