"timeMillisSpent","score"
414,"[0]hard/[-2377/-7968074/-7845/-10573]soft"
772,"[0]hard/[-2377/-7903619/-6483/-11993]soft"
788,"[0]hard/[-2377/-7891082/-6444/-11979]soft"
903,"[0]hard/[-2377/-7884686/-7951/-10537]soft"
904,"[0]hard/[-2377/-7871303/-7886/-10671]soft"
947,"[0]hard/[-2377/-7858766/-7847/-10657]soft"
948,"[0]hard/[-2377/-7839967/-7739/-10708]soft"
1160,"[0]hard/[-2377/-7829513/-8108/-10310]soft"
1168,"[0]hard/[-2377/-7817065/-8040/-10437]soft"
1175,"[0]hard/[-2377/-7791734/-7685/-10590]soft"
1561,"[0]hard/[-2377/-7787983/-7727/-9054]soft"
1563,"[0]hard/[-2377/-7717354/-7762/-7914]soft"
1793,"[0]hard/[-2377/-7587781/-8446/-8004]soft"
1849,"[0]hard/[-2377/-7504831/-6662/-9509]soft"
1854,"[0]hard/[-2377/-7492332/-6939/-9298]soft"
2272,"[0]hard/[-2377/-7376602/-6617/-9526]soft"
2282,"[0]hard/[-2377/-7367693/-6683/-9357]soft"
3938,"[0]hard/[-2377/-4860528/-6908/-8360]soft"
4177,"[0]hard/[-2377/-4826891/-6397/-8437]soft"
4177,"[0]hard/[-2377/-4789666/-6516/-8283]soft"
4516,"[0]hard/[-2377/-4785259/-6400/-7824]soft"
5750,"[0]hard/[-2377/-4692979/-6482/-7904]soft"
