"timeMillisSpent","score"
3512,"[0]hard/[-2219212/-1602536804]soft"
3520,"[0]hard/[-2219206/-1602536804]soft"
3522,"[0]hard/[-2216942/-1603279044]soft"
3524,"[0]hard/[-2216940/-1603279044]soft"
3524,"[0]hard/[-2215216/-1586677820]soft"
3534,"[0]hard/[-2213776/-1599406276]soft"
3547,"[0]hard/[-2213318/-1662006160]soft"
3548,"[0]hard/[-2213300/-1662006160]soft"
3645,"[0]hard/[-2212442/-1652832532]soft"
3715,"[0]hard/[-2210484/-1709587184]soft"
3741,"[0]hard/[-2209586/-1644239392]soft"
3792,"[0]hard/[-2207248/-1702214104]soft"
3793,"[0]hard/[-2207240/-1702214104]soft"
3807,"[0]hard/[-2204894/-1769838872]soft"
3902,"[0]hard/[-2200714/-1776985284]soft"
3916,"[0]hard/[-2200166/-1755136628]soft"
4072,"[0]hard/[-2197884/-1728064108]soft"
4220,"[0]hard/[-2195246/-1746142616]soft"
4222,"[0]hard/[-2195222/-1746142616]soft"
4382,"[0]hard/[-2194924/-1758737992]soft"
4473,"[0]hard/[-2190314/-1719209104]soft"
4711,"[0]hard/[-2189504/-1718914784]soft"
4779,"[0]hard/[-2184298/-1778735344]soft"
4906,"[0]hard/[-2183364/-1693821524]soft"
5004,"[0]hard/[-2182702/-1706817020]soft"
5161,"[0]hard/[-2180660/-1714910592]soft"
5201,"[0]hard/[-2175534/-1738764132]soft"
5471,"[0]hard/[-2175130/-1704120816]soft"
5499,"[0]hard/[-2173208/-1708231976]soft"
5630,"[0]hard/[-2169718/-1764855168]soft"
5816,"[0]hard/[-2167514/-1740893812]soft"
5817,"[0]hard/[-2166010/-1740068400]soft"
6696,"[0]hard/[-2162842/-1720130888]soft"
6851,"[0]hard/[-2160436/-1700193904]soft"
6851,"[0]hard/[-2160302/-1696508876]soft"
6853,"[0]hard/[-2156726/-1694267468]soft"
7550,"[0]hard/[-2156200/-1724581624]soft"
7582,"[0]hard/[-2156060/-1720892716]soft"
7583,"[0]hard/[-2156016/-1720940448]soft"
7583,"[0]hard/[-2155758/-1722884832]soft"
7584,"[0]hard/[-2153278/-1719947232]soft"
7758,"[0]hard/[-2152600/-1699655688]soft"
7779,"[0]hard/[-2152084/-1730326704]soft"
7912,"[0]hard/[-2147468/-1782563712]soft"
7913,"[0]hard/[-2147406/-1782852108]soft"
8481,"[0]hard/[-2145284/-1654680132]soft"
8855,"[0]hard/[-2144180/-1712859416]soft"
8981,"[0]hard/[-2142862/-1686836108]soft"
9042,"[0]hard/[-2141822/-1710474520]soft"
9059,"[0]hard/[-2140836/-1692739088]soft"
9060,"[0]hard/[-2140836/-1690869888]soft"
9241,"[0]hard/[-2139180/-1727775340]soft"
9519,"[0]hard/[-2137600/-1685441876]soft"
9521,"[0]hard/[-2137550/-1683264380]soft"
9585,"[0]hard/[-2137130/-1715422460]soft"
9843,"[0]hard/[-2133692/-1725877104]soft"
9993,"[0]hard/[-2132672/-1698159272]soft"
10017,"[0]hard/[-2132586/-1730814872]soft"
10043,"[0]hard/[-2129920/-1707786816]soft"
10122,"[0]hard/[-2129288/-1766950504]soft"
10356,"[0]hard/[-2127078/-1680579452]soft"
10357,"[0]hard/[-2125818/-1680457840]soft"
10358,"[0]hard/[-2125794/-1680457840]soft"
10735,"[0]hard/[-2121712/-1721806328]soft"
10736,"[0]hard/[-2121660/-1721806328]soft"
10950,"[0]hard/[-2121302/-1695225996]soft"
11497,"[0]hard/[-2120998/-1739291540]soft"
11498,"[0]hard/[-2119798/-1739291540]soft"
11498,"[0]hard/[-2119742/-1739291540]soft"
11499,"[0]hard/[-2118436/-1739087804]soft"
11543,"[0]hard/[-2116506/-1737662548]soft"
11738,"[0]hard/[-2113550/-1690938656]soft"
12820,"[0]hard/[-2109516/-1682595368]soft"
12994,"[0]hard/[-2109474/-1724484224]soft"
13190,"[0]hard/[-2108722/-1683916164]soft"
13456,"[0]hard/[-2107632/-1740910584]soft"
13458,"[0]hard/[-2106448/-1740910584]soft"
13873,"[0]hard/[-2105892/-1672989688]soft"
13874,"[0]hard/[-2104394/-1673324348]soft"
14305,"[0]hard/[-2102786/-1700808160]soft"
14837,"[0]hard/[-2101668/-1662122992]soft"
14928,"[0]hard/[-2101298/-1676062440]soft"
14929,"[0]hard/[-2101258/-1676946320]soft"
15135,"[0]hard/[-2100410/-1689835084]soft"
15234,"[0]hard/[-2098366/-1730802320]soft"
15580,"[0]hard/[-2098306/-1704803744]soft"
15581,"[0]hard/[-2095804/-1704425508]soft"
15582,"[0]hard/[-2095784/-1704425508]soft"
15785,"[0]hard/[-2095664/-1672970420]soft"
15789,"[0]hard/[-2094558/-1651627364]soft"
16084,"[0]hard/[-2093552/-1684938520]soft"
16114,"[0]hard/[-2092168/-1736635632]soft"
16557,"[0]hard/[-2090828/-1649358084]soft"
16557,"[0]hard/[-2090818/-1649358084]soft"
16733,"[0]hard/[-2088184/-1657670040]soft"
16869,"[0]hard/[-2087402/-1721583768]soft"
16870,"[0]hard/[-2086378/-1704667448]soft"
17139,"[0]hard/[-2081512/-1647302688]soft"
18223,"[0]hard/[-2080930/-1660497720]soft"
18667,"[0]hard/[-2079682/-1658983780]soft"
18875,"[0]hard/[-2079262/-1614231020]soft"
18890,"[0]hard/[-2078496/-1614460372]soft"
18891,"[0]hard/[-2076168/-1594727348]soft"
18892,"[0]hard/[-2076056/-1595556488]soft"
19203,"[0]hard/[-2073808/-1687720488]soft"
20424,"[0]hard/[-2073480/-1594960312]soft"
20809,"[0]hard/[-2073446/-1613826448]soft"
20968,"[0]hard/[-2072994/-1615516168]soft"
21190,"[0]hard/[-2071208/-1572946492]soft"
21526,"[0]hard/[-2069368/-1649134268]soft"
21956,"[0]hard/[-2068644/-1674573604]soft"
21981,"[0]hard/[-2068136/-1686103232]soft"
21999,"[0]hard/[-2067400/-1662955932]soft"
22385,"[0]hard/[-2067148/-1679033768]soft"
22477,"[0]hard/[-2063456/-1671974700]soft"
22534,"[0]hard/[-2061982/-1674216900]soft"
22821,"[0]hard/[-2061646/-1609619684]soft"
23459,"[0]hard/[-2059488/-1705667820]soft"
23524,"[0]hard/[-2059350/-1708552392]soft"
24273,"[0]hard/[-2058042/-1653520112]soft"
24274,"[0]hard/[-2057848/-1656612088]soft"
24275,"[0]hard/[-2057688/-1656612088]soft"
24317,"[0]hard/[-2056590/-1640832644]soft"
24629,"[0]hard/[-2056114/-1677907004]soft"
24964,"[0]hard/[-2055578/-1685384600]soft"
24967,"[0]hard/[-2054568/-1685076472]soft"
25033,"[0]hard/[-2054472/-1661564768]soft"
25260,"[0]hard/[-2053662/-1651176252]soft"
26363,"[0]hard/[-2051938/-1667950872]soft"
26884,"[0]hard/[-2049796/-1637824384]soft"
27172,"[0]hard/[-2048562/-1710856696]soft"
27409,"[0]hard/[-2046708/-1641717844]soft"
27968,"[0]hard/[-2044220/-1644027500]soft"
27969,"[0]hard/[-2043532/-1661455068]soft"
27971,"[0]hard/[-2043252/-1682793348]soft"
27972,"[0]hard/[-2043232/-1682793348]soft"
28208,"[0]hard/[-2043172/-1680775664]soft"
28208,"[0]hard/[-2041908/-1661995280]soft"
28210,"[0]hard/[-2041876/-1661995280]soft"
28210,"[0]hard/[-2040716/-1638758352]soft"
30110,"[0]hard/[-2040612/-1618010920]soft"
30110,"[0]hard/[-2039190/-1618010920]soft"
30111,"[0]hard/[-2037944/-1616589640]soft"
30112,"[0]hard/[-2037658/-1616780100]soft"
30676,"[0]hard/[-2037540/-1648805908]soft"
30677,"[0]hard/[-2037508/-1649064148]soft"
31282,"[0]hard/[-2036046/-1611747376]soft"
31283,"[0]hard/[-2036030/-1611898576]soft"
31285,"[0]hard/[-2035044/-1596354576]soft"
31796,"[0]hard/[-2034022/-1600087840]soft"
32385,"[0]hard/[-2033384/-1585930512]soft"
32386,"[0]hard/[-2033376/-1585930512]soft"
32387,"[0]hard/[-2033368/-1584927972]soft"
32389,"[0]hard/[-2033050/-1588019888]soft"
32389,"[0]hard/[-2032822/-1588019888]soft"
32391,"[0]hard/[-2031634/-1588019888]soft"
33227,"[0]hard/[-2031306/-1586532956]soft"
33317,"[0]hard/[-2030840/-1681728528]soft"
33588,"[0]hard/[-2030758/-1609527892]soft"
33590,"[0]hard/[-2030582/-1609289204]soft"
33887,"[0]hard/[-2030124/-1586549584]soft"
33912,"[0]hard/[-2029818/-1640391972]soft"
33913,"[0]hard/[-2029816/-1640391972]soft"
34249,"[0]hard/[-2029184/-1639824884]soft"
34419,"[0]hard/[-2028824/-1609590792]soft"
34529,"[0]hard/[-2028722/-1674119016]soft"
34537,"[0]hard/[-2025094/-1669787664]soft"
34538,"[0]hard/[-2025064/-1669787664]soft"
34540,"[0]hard/[-2025060/-1669787664]soft"
35478,"[0]hard/[-2024496/-1630815992]soft"
35479,"[0]hard/[-2024486/-1630815992]soft"
35710,"[0]hard/[-2023976/-1616558084]soft"
35712,"[0]hard/[-2023910/-1634595664]soft"
35728,"[0]hard/[-2023578/-1614733260]soft"
35728,"[0]hard/[-2023574/-1614733260]soft"
36587,"[0]hard/[-2022204/-1649949548]soft"
37141,"[0]hard/[-2021230/-1668676660]soft"
37142,"[0]hard/[-2021080/-1668676660]soft"
37143,"[0]hard/[-2018246/-1667679824]soft"
37987,"[0]hard/[-2018138/-1681115008]soft"
37992,"[0]hard/[-2015662/-1677731488]soft"
38265,"[0]hard/[-2014976/-1618522036]soft"
38266,"[0]hard/[-2014908/-1618522036]soft"
38832,"[0]hard/[-2014020/-1569016088]soft"
39326,"[0]hard/[-2013066/-1647090292]soft"
39424,"[0]hard/[-2012232/-1633267516]soft"
40095,"[0]hard/[-2010198/-1611884508]soft"
40549,"[0]hard/[-2006420/-1590727812]soft"
40550,"[0]hard/[-2006418/-1590727812]soft"
40550,"[0]hard/[-2006412/-1590727812]soft"
41312,"[0]hard/[-2006272/-1635429148]soft"
41312,"[0]hard/[-2006236/-1635424612]soft"
42899,"[0]hard/[-2004350/-1587796696]soft"
42936,"[0]hard/[-2004026/-1605570752]soft"
42936,"[0]hard/[-2003960/-1605570752]soft"
43179,"[0]hard/[-2003896/-1619525120]soft"
43181,"[0]hard/[-2003866/-1619525120]soft"
44065,"[0]hard/[-2003688/-1642017632]soft"
44066,"[0]hard/[-2003688/-1641758176]soft"
44068,"[0]hard/[-2003636/-1641758176]soft"
44072,"[0]hard/[-2003340/-1649915308]soft"
44104,"[0]hard/[-2001456/-1687877052]soft"
44106,"[0]hard/[-2001454/-1687877052]soft"
44107,"[0]hard/[-2001426/-1688395948]soft"
45315,"[0]hard/[-2000418/-1622851320]soft"
45591,"[0]hard/[-1998494/-1593405288]soft"
45595,"[0]hard/[-1997360/-1593077060]soft"
46653,"[0]hard/[-1996500/-1622002256]soft"
47302,"[0]hard/[-1995394/-1649502880]soft"
47303,"[0]hard/[-1995374/-1649502880]soft"
47304,"[0]hard/[-1995076/-1668522108]soft"
47305,"[0]hard/[-1994048/-1648504576]soft"
47807,"[0]hard/[-1993502/-1603818256]soft"
47942,"[0]hard/[-1993056/-1600643500]soft"
48289,"[0]hard/[-1992566/-1643886524]soft"
48610,"[0]hard/[-1992518/-1597764864]soft"
48611,"[0]hard/[-1992502/-1597764864]soft"
48955,"[0]hard/[-1992478/-1625858876]soft"
49250,"[0]hard/[-1991798/-1585376200]soft"
49949,"[0]hard/[-1990826/-1616721740]soft"
49950,"[0]hard/[-1990814/-1616721740]soft"
50027,"[0]hard/[-1990494/-1623121508]soft"
50028,"[0]hard/[-1990364/-1621242660]soft"
50190,"[0]hard/[-1989306/-1576325484]soft"
50281,"[0]hard/[-1988516/-1582803428]soft"
50281,"[0]hard/[-1988496/-1582803428]soft"
50330,"[0]hard/[-1988494/-1658580276]soft"
50331,"[0]hard/[-1988454/-1658045172]soft"
50339,"[0]hard/[-1988358/-1639071144]soft"
50713,"[0]hard/[-1987916/-1618456680]soft"
51359,"[0]hard/[-1987352/-1643482964]soft"
