"timeMillisSpent","score"
879,"[0]hard/[-409920/-327833952]soft"
882,"[0]hard/[-409910/-327833952]soft"
883,"[0]hard/[-407418/-327833952]soft"
895,"[0]hard/[-406388/-322912236]soft"
897,"[0]hard/[-405062/-322920300]soft"
971,"[0]hard/[-403590/-328575024]soft"
972,"[0]hard/[-403586/-328575024]soft"
1017,"[0]hard/[-400462/-344177004]soft"
1018,"[0]hard/[-400454/-344655752]soft"
1036,"[0]hard/[-395876/-322181804]soft"
1208,"[0]hard/[-395094/-344254840]soft"
1592,"[0]hard/[-392990/-324753576]soft"
1592,"[0]hard/[-392916/-324753576]soft"
1743,"[0]hard/[-390288/-340124216]soft"
1750,"[0]hard/[-387688/-346068228]soft"
1750,"[0]hard/[-387672/-346068228]soft"
1751,"[0]hard/[-386548/-332753528]soft"
2235,"[0]hard/[-385346/-355371300]soft"
2576,"[0]hard/[-381900/-319248868]soft"
2999,"[0]hard/[-381818/-330528292]soft"
3002,"[0]hard/[-381602/-341206168]soft"
3012,"[0]hard/[-380292/-340492968]soft"
3187,"[0]hard/[-379510/-308375560]soft"
3187,"[0]hard/[-379458/-321661768]soft"
3188,"[0]hard/[-378186/-319639384]soft"
4270,"[0]hard/[-377628/-338723008]soft"
4480,"[0]hard/[-377398/-306684124]soft"
4661,"[0]hard/[-376842/-305114712]soft"
4812,"[0]hard/[-375138/-338838312]soft"
4829,"[0]hard/[-374808/-317548412]soft"
4829,"[0]hard/[-374762/-318544680]soft"
5233,"[0]hard/[-374524/-307321192]soft"
5234,"[0]hard/[-374464/-307321192]soft"
5234,"[0]hard/[-373070/-306023140]soft"
5239,"[0]hard/[-372592/-327160168]soft"
5241,"[0]hard/[-372008/-329492692]soft"
5741,"[0]hard/[-370450/-318243288]soft"
5741,"[0]hard/[-370446/-318176088]soft"
7249,"[0]hard/[-370372/-330354308]soft"
7249,"[0]hard/[-370272/-330354308]soft"
7269,"[0]hard/[-367854/-325756132]soft"
9481,"[0]hard/[-367844/-305270664]soft"
9555,"[0]hard/[-366476/-325634832]soft"
9555,"[0]hard/[-366470/-325634832]soft"
9556,"[0]hard/[-366404/-325634832]soft"
9930,"[0]hard/[-365704/-303031380]soft"
10307,"[0]hard/[-365454/-316131668]soft"
10318,"[0]hard/[-365414/-314714808]soft"
10616,"[0]hard/[-365180/-302896232]soft"
11062,"[0]hard/[-364582/-325700496]soft"
11063,"[0]hard/[-364558/-325700496]soft"
11097,"[0]hard/[-363982/-316052216]soft"
11313,"[0]hard/[-363222/-302879416]soft"
12282,"[0]hard/[-362576/-303091428]soft"
12283,"[0]hard/[-362510/-303091428]soft"
12301,"[0]hard/[-362404/-303119224]soft"
12494,"[0]hard/[-361976/-315543200]soft"
12494,"[0]hard/[-361976/-315236900]soft"
12749,"[0]hard/[-361956/-302682748]soft"
12753,"[0]hard/[-361908/-302070536]soft"
12754,"[0]hard/[-361764/-301967676]soft"
12755,"[0]hard/[-361764/-301884316]soft"
13070,"[0]hard/[-361122/-303446644]soft"
13412,"[0]hard/[-360816/-303293188]soft"
13417,"[0]hard/[-360810/-303167604]soft"
13723,"[0]hard/[-360784/-315057568]soft"
13794,"[0]hard/[-360686/-314273060]soft"
13806,"[0]hard/[-360594/-316345128]soft"
13809,"[0]hard/[-359546/-303328168]soft"
13810,"[0]hard/[-359520/-303328168]soft"
13811,"[0]hard/[-359420/-303328168]soft"
14095,"[0]hard/[-359414/-303741064]soft"
14117,"[0]hard/[-358968/-303304232]soft"
14142,"[0]hard/[-357778/-302825504]soft"
15333,"[0]hard/[-356994/-301892312]soft"
15333,"[0]hard/[-356970/-301892312]soft"
15333,"[0]hard/[-356962/-301976152]soft"
15419,"[0]hard/[-356844/-302894024]soft"
15420,"[0]hard/[-356782/-302894024]soft"
15420,"[0]hard/[-356690/-302894024]soft"
17574,"[0]hard/[-356288/-302391704]soft"
17575,"[0]hard/[-356212/-302391704]soft"
18850,"[0]hard/[-355348/-302080116]soft"
18850,"[0]hard/[-355312/-302080116]soft"
18856,"[0]hard/[-354448/-290274180]soft"
19516,"[0]hard/[-354152/-302278596]soft"
19540,"[0]hard/[-354132/-302278596]soft"
19790,"[0]hard/[-354088/-303110332]soft"
19790,"[0]hard/[-354058/-303425992]soft"
19791,"[0]hard/[-354056/-303425992]soft"
19813,"[0]hard/[-353684/-302816972]soft"
19817,"[0]hard/[-353644/-303199832]soft"
19818,"[0]hard/[-353638/-303260784]soft"
20547,"[0]hard/[-353474/-302719836]soft"
22708,"[0]hard/[-352598/-290125012]soft"
23052,"[0]hard/[-351528/-289891848]soft"
23136,"[0]hard/[-351434/-289892548]soft"
23138,"[0]hard/[-351420/-289892548]soft"
23138,"[0]hard/[-351418/-289892548]soft"
23143,"[0]hard/[-351406/-289892548]soft"
23315,"[0]hard/[-351194/-290036292]soft"
23641,"[0]hard/[-351094/-289509004]soft"
23641,"[0]hard/[-351072/-289509004]soft"
23646,"[0]hard/[-351070/-289509004]soft"
23664,"[0]hard/[-351060/-289949156]soft"
23664,"[0]hard/[-351056/-289949156]soft"
24408,"[0]hard/[-351046/-289374188]soft"
24409,"[0]hard/[-351012/-289680748]soft"
24421,"[0]hard/[-350966/-290134408]soft"
24422,"[0]hard/[-350956/-290134408]soft"
24457,"[0]hard/[-350924/-289919948]soft"
24458,"[0]hard/[-350918/-289919948]soft"
24462,"[0]hard/[-350884/-290211192]soft"
25183,"[0]hard/[-350874/-290027312]soft"
25994,"[0]hard/[-350844/-290327688]soft"
25996,"[0]hard/[-350816/-290222868]soft"
26024,"[0]hard/[-350776/-289677096]soft"
26031,"[0]hard/[-350756/-289753768]soft"
26068,"[0]hard/[-350648/-290039220]soft"
26069,"[0]hard/[-350618/-290039220]soft"
26070,"[0]hard/[-350612/-290166448]soft"
26071,"[0]hard/[-350610/-290166448]soft"
28639,"[0]hard/[-350588/-289613340]soft"
28869,"[0]hard/[-350490/-290134408]soft"
28871,"[0]hard/[-350488/-290134408]soft"
31468,"[0]hard/[-350476/-289508152]soft"
31839,"[0]hard/[-350432/-289883460]soft"
34591,"[0]hard/[-350416/-289975396]soft"
34593,"[0]hard/[-350412/-290052116]soft"
34595,"[0]hard/[-350406/-289754564]soft"
34921,"[0]hard/[-350384/-289938808]soft"
35575,"[0]hard/[-350384/-289866688]soft"
35739,"[0]hard/[-350366/-289961648]soft"
35739,"[0]hard/[-350360/-289961648]soft"
37016,"[0]hard/[-350334/-289783012]soft"
