"timeMillisSpent","score"
467,"[0]hard/[-14746/-8137726]soft"
493,"[0]hard/[-14719/-7985446]soft"
526,"[0]hard/[-14688/-7941002]soft"
560,"[0]hard/[-14622/-7950346]soft"
562,"[0]hard/[-14619/-7912714]soft"
726,"[0]hard/[-13633/-4804073]soft"
5121,"[0]hard/[-13625/-4745954]soft"
5536,"[0]hard/[-13620/-4761014]soft"
5537,"[0]hard/[-13617/-4789455]soft"
5545,"[0]hard/[-13577/-4739237]soft"
5655,"[0]hard/[-13556/-4735987]soft"
6731,"[0]hard/[-13554/-4652304]soft"
7713,"[0]hard/[-13548/-4507570]soft"
8478,"[0]hard/[-13541/-4759375]soft"
8607,"[0]hard/[-13531/-4674996]soft"
8967,"[0]hard/[-13525/-4533944]soft"
9180,"[0]hard/[-13484/-4636300]soft"
11787,"[0]hard/[-13467/-4681305]soft"
