"timeMillisSpent","score"
1137,"[0]hard/[-409920/-327833952]soft"
1141,"[0]hard/[-409910/-327833952]soft"
1143,"[0]hard/[-407418/-327833952]soft"
1156,"[0]hard/[-406388/-322912236]soft"
1159,"[0]hard/[-405062/-322920300]soft"
1193,"[0]hard/[-403590/-328575024]soft"
1195,"[0]hard/[-403586/-328575024]soft"
1217,"[0]hard/[-400462/-344177004]soft"
1218,"[0]hard/[-400454/-344655752]soft"
1243,"[0]hard/[-395876/-322181804]soft"
1472,"[0]hard/[-395094/-344254840]soft"
1944,"[0]hard/[-392990/-324753576]soft"
1945,"[0]hard/[-392916/-324753576]soft"
2109,"[0]hard/[-390288/-340124216]soft"
2121,"[0]hard/[-387688/-346068228]soft"
2122,"[0]hard/[-387672/-346068228]soft"
2122,"[0]hard/[-386548/-332753528]soft"
2482,"[0]hard/[-385346/-355371300]soft"
2738,"[0]hard/[-381900/-319248868]soft"
2968,"[0]hard/[-381818/-330528292]soft"
2969,"[0]hard/[-381602/-341206168]soft"
2975,"[0]hard/[-380292/-340492968]soft"
3072,"[0]hard/[-379510/-308375560]soft"
3072,"[0]hard/[-379458/-321661768]soft"
3073,"[0]hard/[-378186/-319639384]soft"
3635,"[0]hard/[-377628/-338723008]soft"
3755,"[0]hard/[-377398/-306684124]soft"
3841,"[0]hard/[-376842/-305114712]soft"
3951,"[0]hard/[-375138/-338838312]soft"
3965,"[0]hard/[-374808/-317548412]soft"
3966,"[0]hard/[-374762/-318544680]soft"
4230,"[0]hard/[-374524/-307321192]soft"
4230,"[0]hard/[-374464/-307321192]soft"
4231,"[0]hard/[-373070/-306023140]soft"
4234,"[0]hard/[-372592/-327160168]soft"
4235,"[0]hard/[-372008/-329492692]soft"
4471,"[0]hard/[-370450/-318243288]soft"
4471,"[0]hard/[-370446/-318176088]soft"
5295,"[0]hard/[-370372/-330354308]soft"
5295,"[0]hard/[-370272/-330354308]soft"
5304,"[0]hard/[-367854/-325756132]soft"
6581,"[0]hard/[-367844/-305270664]soft"
6624,"[0]hard/[-366476/-325634832]soft"
6625,"[0]hard/[-366470/-325634832]soft"
6625,"[0]hard/[-366404/-325634832]soft"
6851,"[0]hard/[-365704/-303031380]soft"
7070,"[0]hard/[-365454/-316131668]soft"
7073,"[0]hard/[-365414/-314714808]soft"
7250,"[0]hard/[-365180/-302896232]soft"
7544,"[0]hard/[-364582/-325700496]soft"
7545,"[0]hard/[-364558/-325700496]soft"
7564,"[0]hard/[-363982/-316052216]soft"
7679,"[0]hard/[-363222/-302879416]soft"
8196,"[0]hard/[-362576/-303091428]soft"
8196,"[0]hard/[-362510/-303091428]soft"
8206,"[0]hard/[-362404/-303119224]soft"
8320,"[0]hard/[-361976/-315543200]soft"
8320,"[0]hard/[-361976/-315236900]soft"
8451,"[0]hard/[-361956/-302682748]soft"
8453,"[0]hard/[-361908/-302070536]soft"
8454,"[0]hard/[-361764/-301967676]soft"
