"timeMillisSpent","score"
391,"[0]hard/[-122188/-103557808]soft"
415,"[0]hard/[-120906/-103803568]soft"
417,"[0]hard/[-119760/-102812080]soft"
471,"[0]hard/[-119442/-93890120]soft"
481,"[0]hard/[-118142/-94271356]soft"
482,"[0]hard/[-118098/-93309404]soft"
484,"[0]hard/[-118082/-93309404]soft"
523,"[0]hard/[-118070/-92027496]soft"
524,"[0]hard/[-117968/-92058664]soft"
711,"[0]hard/[-116268/-92818056]soft"
950,"[0]hard/[-115296/-96055768]soft"
1001,"[0]hard/[-114998/-92870920]soft"
1378,"[0]hard/[-113982/-91151900]soft"
1396,"[0]hard/[-113716/-95193928]soft"
1464,"[0]hard/[-113520/-93120104]soft"
1588,"[0]hard/[-112482/-91127580]soft"
1588,"[0]hard/[-112428/-91127580]soft"
1593,"[0]hard/[-112388/-91127580]soft"
1873,"[0]hard/[-112070/-103808188]soft"
2012,"[0]hard/[-111958/-92746304]soft"
2013,"[0]hard/[-111932/-92358420]soft"
2106,"[0]hard/[-111904/-92140980]soft"
2164,"[0]hard/[-110912/-91547848]soft"
2165,"[0]hard/[-110858/-91547848]soft"
2291,"[0]hard/[-110804/-100077532]soft"
2441,"[0]hard/[-110278/-101273544]soft"
2550,"[0]hard/[-109408/-90669276]soft"
2553,"[0]hard/[-109400/-90991412]soft"
2553,"[0]hard/[-109302/-90991412]soft"
2553,"[0]hard/[-109222/-99839740]soft"
2697,"[0]hard/[-109102/-101669224]soft"
2893,"[0]hard/[-108832/-82760712]soft"
2893,"[0]hard/[-108778/-82760712]soft"
2894,"[0]hard/[-108688/-82770824]soft"
3033,"[0]hard/[-108364/-91247184]soft"
3033,"[0]hard/[-108302/-91247184]soft"
3035,"[0]hard/[-108164/-91360712]soft"
3035,"[0]hard/[-108006/-99839740]soft"
3096,"[0]hard/[-107974/-91112496]soft"
3119,"[0]hard/[-107788/-91233236]soft"
3529,"[0]hard/[-107772/-91462632]soft"
4076,"[0]hard/[-107682/-90913780]soft"
4079,"[0]hard/[-107646/-91080148]soft"
4079,"[0]hard/[-107642/-91080148]soft"
4164,"[0]hard/[-106576/-100077532]soft"
5546,"[0]hard/[-106286/-99839740]soft"
5547,"[0]hard/[-106270/-99916348]soft"
5894,"[0]hard/[-106218/-99839740]soft"
6364,"[0]hard/[-106210/-99840124]soft"
6372,"[0]hard/[-106202/-100003708]soft"
6373,"[0]hard/[-106194/-100003708]soft"
6375,"[0]hard/[-106194/-99919132]soft"
6586,"[0]hard/[-106172/-99597276]soft"
6587,"[0]hard/[-106124/-99760732]soft"
6589,"[0]hard/[-106098/-99760732]soft"
7419,"[0]hard/[-106086/-99760732]soft"
7484,"[0]hard/[-106082/-100077532]soft"
7509,"[0]hard/[-106082/-99839740]soft"
7581,"[0]hard/[-106064/-100077532]soft"
7583,"[0]hard/[-106032/-100077532]soft"
7584,"[0]hard/[-106010/-100077532]soft"
8690,"[0]hard/[-106010/-99839740]soft"
8704,"[0]hard/[-106002/-99839740]soft"
8705,"[0]hard/[-105998/-99839740]soft"
8907,"[0]hard/[-105996/-100077532]soft"
8975,"[0]hard/[-105994/-100077532]soft"
9260,"[0]hard/[-105992/-100077532]soft"
9492,"[0]hard/[-105988/-100077532]soft"
10516,"[0]hard/[-105984/-100077532]soft"
10516,"[0]hard/[-105980/-100077532]soft"
10897,"[0]hard/[-105980/-99839740]soft"
