"timeMillisSpent","score"
361,"[0]hard/[-14746/-8137726]soft"
374,"[0]hard/[-14719/-7985446]soft"
400,"[0]hard/[-14688/-7941002]soft"
432,"[0]hard/[-14622/-7950346]soft"
434,"[0]hard/[-14619/-7912714]soft"
563,"[0]hard/[-13633/-4804073]soft"
3699,"[0]hard/[-13625/-4745954]soft"
4041,"[0]hard/[-13620/-4761014]soft"
4042,"[0]hard/[-13617/-4789455]soft"
4049,"[0]hard/[-13577/-4739237]soft"
4142,"[0]hard/[-13556/-4735987]soft"
4854,"[0]hard/[-13554/-4652304]soft"
5393,"[0]hard/[-13548/-4507570]soft"
5808,"[0]hard/[-13541/-4759375]soft"
5899,"[0]hard/[-13531/-4674996]soft"
6185,"[0]hard/[-13525/-4533944]soft"
6313,"[0]hard/[-13484/-4636300]soft"
7888,"[0]hard/[-13467/-4681305]soft"
